"RHQ166.Code.or.Value","RHQ166.Value.Description","RHQ166.Count","RHQ166.Cumulative","RHQ166.Skip.to.Item"
"0 to 15","Range of Values",2299,2299,NA
"77","Refused",0,2299,NA
"99","Don't know",3,2302,NA
".","Missing",1182,3484,NA
