"DR1TCOPP.Code.or.Value","DR1TCOPP.Value.Description","DR1TCOPP.Count","DR1TCOPP.Cumulative","DR1TCOPP.Skip.to.Item"
"0.025 to 49.994","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
