"AUXR8KL.Code.or.Value","AUXR8KL.Value.Description","AUXR8KL.Count","AUXR8KL.Cumulative","AUXR8KL.Skip.to.Item"
"15 to 90","Range of Values",17,17,NA
"666","No response",1,18,NA
"888","Could not obtain",0,18,NA
".","Missing",1789,1807,NA
