"URDHP2LC.Code.or.Value","URDHP2LC.Value.Description","URDHP2LC.Count","URDHP2LC.Cumulative","URDHP2LC.Skip.to.Item"
"0","At or above the detection limit",2862,2862,NA
"1","Below lower detection limit",152,3014,NA
".","Missing",265,3279,NA
