"DIQ070.Code.or.Value","DIQ070.Value.Description","DIQ070.Count","DIQ070.Cumulative","DIQ070.Skip.to.Item"
"1","Yes",395,395,NA
"2","No",163,558,NA
"7","Refused",0,558,NA
"9","Don't know",1,559,NA
".","Missing",9086,9645,NA
