"LBDV1DLC.Code.or.Value","LBDV1DLC.Value.Description","LBDV1DLC.Count","LBDV1DLC.Cumulative","LBDV1DLC.Skip.to.Item"
"0","At or above detection limit",1,1,NA
"1","Below lower detection limit",3073,3074,NA
"2","Detectable result and exceeds the calibrated range of assay",0,3074,NA
".","Missing",671,3745,NA
