"AUXLR212.Code.or.Value","AUXLR212.Value.Description","AUXLR212.Count","AUXLR212.Cumulative","AUXLR212.Skip.to.Item"
"-48 to 51","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
