"SMD055.Code.or.Value","SMD055.Value.Description","SMD055.Count","SMD055.Cumulative","SMD055.Skip.to.Item"
"10 to 81","Range of Values",1120,1120,NA
"85","85 years or older",0,1120,NA
"777","Refused",1,1121,NA
"999","Don't know",1,1122,NA
".","Missing",6064,7186,NA
