"WTSAF2YR.Code.or.Value","WTSAF2YR.Value.Description","WTSAF2YR.Count","WTSAF2YR.Cumulative","WTSAF2YR.Skip.to.Item"
"0 to 548458.78807","Range of Values",3267,3267,NA
".","Missing",0,3267,NA
