"AUXLR106.Code.or.Value","AUXLR106.Value.Description","AUXLR106.Count","AUXLR106.Cumulative","AUXLR106.Skip.to.Item"
"-70 to 63","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
