"URXNOXT.Code.or.Value","URXNOXT.Value.Description","URXNOXT.Count","URXNOXT.Cumulative","URXNOXT.Skip.to.Item"
"1.77 to 6120","Range of Values",1119,1119,NA
".","Missing",1486,2605,NA
