"DRD370I.Code.or.Value","DRD370I.Value.Description","DRD370I.Count","DRD370I.Cumulative","DRD370I.Skip.to.Item"
"1","Yes",180,180,""
"2","No",5391,5571,"DRD370J"
".","Missing",4379,9950,""
