"RHQ171.Code.or.Value","RHQ171.Value.Description","RHQ171.Count","RHQ171.Cumulative","RHQ171.Skip.to.Item"
"0 to 15","Range of Values",2212,2212,NA
"77","Refused",0,2212,NA
"99","Don't know",1,2213,NA
".","Missing",1271,3484,NA
