"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"5 to 520","Range of Values",2679,2679,NA
".","Missing",80,2759,NA
