"TYXA160.Code.or.Value","TYXA160.Value.Description","TYXA160.Count","TYXA160.Cumulative","TYXA160.Skip.to.Item"
"0.09 to 6.388","Range of Values",2527,2527,NA
".","Missing",3058,5585,NA
