"DXXIAX.Code.or.Value","DXXIAX.Value.Description","DXXIAX.Count","DXXIAX.Cumulative","DXXIAX.Skip.to.Item"
"77.3 to 629.1","Range of Values",3242,3242,NA
".","Missing",466,3708,NA
