"LBXVC6.Code.or.Value","LBXVC6.Value.Description","LBXVC6.Count","LBXVC6.Cumulative","LBXVC6.Skip.to.Item"
"0.0141 to 4.06","Range of Values",3004,3004,NA
".","Missing",485,3489,NA
