"URXUMN.Code.or.Value","URXUMN.Value.Description","URXUMN.Count","URXUMN.Cumulative","URXUMN.Skip.to.Item"
"0.092 to 18.95","Range of Values",2664,2664,NA
".","Missing",91,2755,NA
