"WTSSHS2Y.Code.or.Value","WTSSHS2Y.Value.Description","WTSSHS2Y.Count","WTSSHS2Y.Cumulative","WTSSHS2Y.Skip.to.Item"
"3208.811958 to 181162.91641","Range of Values",1479,1479,NA
"0","No lab specimen",0,1479,NA
".","Missing",0,1479,NA
