"RHQ556.Code.or.Value","RHQ556.Value.Description","RHQ556.Count","RHQ556.Cumulative","RHQ556.Skip.to.Item"
"19 to 84","Range of Values",421,421,NA
"777","Refused",0,421,NA
"999","Don't know",9,430,NA
".","Missing",3435,3865,NA
