"OCD390G.Code.or.Value","OCD390G.Value.Description","OCD390G.Count","OCD390G.Cumulative","OCD390G.Skip.to.Item"
"1","Enter occupation",3739,3739,""
"2","Same as current occupation",2015,5754,"End of Section"
"3","Armed forces",46,5800,""
"4","Never worked",354,6154,"End of Section"
"7","Refused",4,6158,"End of Section"
"9","Don't know",3,6161,"End of Section"
".","Missing",0,6161,""
