"OCQ350.Code.or.Value","OCQ350.Value.Description","OCQ350.Count","OCQ350.Cumulative","OCQ350.Skip.to.Item"
"1","Yes",476,476,""
"2","No",487,963,"OCD390G"
"7","Refused",0,963,"OCD390G"
"9","Don't know",0,963,"OCD390G"
".","Missing",5250,6213,""
