"DR2EXMER.Code.or.Value","DR2EXMER.Value.Description","DR2EXMER.Count","DR2EXMER.Cumulative","DR2EXMER.Skip.to.Item"
"32 to 92","Range of Values",5526,5526,NA
".","Missing",0,5526,NA
