"URXUCD.Code.or.Value","URXUCD.Value.Description","URXUCD.Count","URXUCD.Cumulative","URXUCD.Skip.to.Item"
"0.04 to 6.94","Range of Values",2504,2504,NA
".","Missing",90,2594,NA
