"BIXS006K.Code.or.Value","BIXS006K.Value.Description","BIXS006K.Count","BIXS006K.Cumulative","BIXS006K.Skip.to.Item"
"345.85 to 1077.26","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
