"DXXIMY.Code.or.Value","DXXIMY.Value.Description","DXXIMY.Count","DXXIMY.Cumulative","DXXIMY.Skip.to.Item"
"106.7 to 290.4","Range of Values",3242,3242,NA
".","Missing",466,3708,NA
