"URDDPMLC.Code.or.Value","URDDPMLC.Value.Description","URDDPMLC.Count","URDDPMLC.Cumulative","URDDPMLC.Skip.to.Item"
"0","At or above the detection limit",5,5,NA
"1","Below lower detection limit",3010,3015,NA
".","Missing",264,3279,NA
