"URXHCTT.Code.or.Value","URXHCTT.Value.Description","URXHCTT.Count","URXHCTT.Cumulative","URXHCTT.Skip.to.Item"
"0.021 to 56200","Range of Values",2971,2971,NA
".","Missing",308,3279,NA
