"MGQ100.Code.or.Value","MGQ100.Value.Description","MGQ100.Count","MGQ100.Cumulative","MGQ100.Skip.to.Item"
"1","Yes",755,755,NA
"2","No",6989,7744,NA
"7","Refused",2,7746,NA
"9","Don't know",6,7752,NA
".","Missing",539,8291,NA
