"DXXSAX.Code.or.Value","DXXSAX.Value.Description","DXXSAX.Count","DXXSAX.Cumulative","DXXSAX.Skip.to.Item"
"253.9 to 898.7","Range of Values",3300,3300,NA
".","Missing",408,3708,NA
