"SSCTEIA.Code.or.Value","SSCTEIA.Value.Description","SSCTEIA.Count","SSCTEIA.Cumulative","SSCTEIA.Skip.to.Item"
"0","Negative",503,503,NA
"1","Positive",304,807,NA
".","Missing",0,807,NA
