"VTQ271B.Code.or.Value","VTQ271B.Value.Description","VTQ271B.Count","VTQ271B.Cumulative","VTQ271B.Skip.to.Item"
"1 to 99","Range of Values",2342,2342,NA
".","Missing",1105,3447,NA
