"VTQ260B.Code.or.Value","VTQ260B.Value.Description","VTQ260B.Count","VTQ260B.Cumulative","VTQ260B.Skip.to.Item"
"1","Yes",1186,1186,NA
"2","No",2054,3240,NA
"7","Refused",0,3240,NA
"9","Don't know",0,3240,NA
".","Missing",305,3545,NA
