"URX2MH.Code.or.Value","URX2MH.Value.Description","URX2MH.Count","URX2MH.Cumulative","URX2MH.Skip.to.Item"
"3.54 to 18200","Range of Values",2240,2240,NA
".","Missing",109,2349,NA
