"RFXT147.Code.or.Value","RFXT147.Value.Description","RFXT147.Count","RFXT147.Cumulative","RFXT147.Skip.to.Item"
"1282 to 1291","Range of Values",33672,33672,NA
".","Missing",49,33721,NA
