"LBXVIA.Code.or.Value","LBXVIA.Value.Description","LBXVIA.Count","LBXVIA.Cumulative","LBXVIA.Skip.to.Item"
"6.31 to 164.6","Range of Values",7267,7267,NA
"0.21","Fill Value of Limit of Detection",1,7268,NA
".","Missing",714,7982,NA
