"TYXP058.Code.or.Value","TYXP058.Value.Description","TYXP058.Count","TYXP058.Cumulative","TYXP058.Skip.to.Item"
"-139 to 143","Range of Values",8468,8468,NA
".","Missing",1,8469,NA
