"RIDRETH1.Code.or.Value","RIDRETH1.Value.Description","RIDRETH1.Count","RIDRETH1.Cumulative","RIDRETH1.Skip.to.Item"
"1","Mexican American",2847,2847,NA
"2","Other Hispanic",349,3196,NA
"3","Non-Hispanic White",3928,7124,NA
"4","Non-Hispanic Black",2710,9834,NA
"5","Other Race - Including Multi-Racial",514,10348,NA
".","Missing",0,10348,NA
