"DMDBORN4.Code.or.Value","DMDBORN4.Value.Description","DMDBORN4.Count","DMDBORN4.Cumulative","DMDBORN4.Skip.to.Item"
"1","Born in 50 US states or Washington, DC",7303,7303,NA
"2","Others",1948,9251,NA
"77","Refused",2,9253,NA
"99","Don't Know",1,9254,NA
".","Missing",0,9254,NA
