"DXXINITX.Code.or.Value","DXXINITX.Value.Description","DXXINITX.Count","DXXINITX.Cumulative","DXXINITX.Skip.to.Item"
"117 to 343.8","Range of Values",3294,3294,NA
".","Missing",414,3708,NA
