"PFQ020.Code.or.Value","PFQ020.Value.Description","PFQ020.Count","PFQ020.Cumulative","PFQ020.Skip.to.Item"
"1","Yes",133,133,""
"2","No",2663,2796,"PFQ035a"
"7","Refused",0,2796,"PFQ035a"
"9","Don't know",1,2797,"PFQ035a"
".","Missing",6219,9016,""
