"DR2TS160.Code.or.Value","DR2TS160.Value.Description","DR2TS160.Count","DR2TS160.Cumulative","DR2TS160.Skip.to.Item"
"0 to 67.868","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
