"RHD080.Code.or.Value","RHD080.Value.Description","RHD080.Count","RHD080.Cumulative","RHD080.Skip.to.Item"
"0 to 361","Range of Values",1709,1709,NA
"777","Refused",0,1709,NA
"999","Don't know",43,1752,NA
".","Missing",1845,3597,NA
