"SSBCPP.Code.or.Value","SSBCPP.Value.Description","SSBCPP.Count","SSBCPP.Cumulative","SSBCPP.Skip.to.Item"
"0.071 to 67.4","Range of Values",2430,2430,NA
".","Missing",0,2430,NA
