"URXANTT.Code.or.Value","URXANTT.Value.Description","URXANTT.Count","URXANTT.Cumulative","URXANTT.Skip.to.Item"
"0.28 to 176","Range of Values",548,548,NA
".","Missing",2431,2979,NA
