"LBC028LA.Code.or.Value","LBC028LA.Value.Description","LBC028LA.Count","LBC028LA.Cumulative","LBC028LA.Skip.to.Item"
"0.2899 to 13.81","Range of Values",251,251,NA
".","Missing",0,251,NA
