"WTSPP20.Code.or.Value","WTSPP20.Value.Description","WTSPP20.Count","WTSPP20.Cumulative","WTSPP20.Skip.to.Item"
"0 to 837790.93244","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
