"DS2ICAFF.Code.or.Value","DS2ICAFF.Value.Description","DS2ICAFF.Count","DS2ICAFF.Cumulative","DS2ICAFF.Skip.to.Item"
"66 to 400","Range of Values",10,10,NA
".","Missing",5893,5903,NA
