"WBXP089.Code.or.Value","WBXP089.Value.Description","WBXP089.Count","WBXP089.Cumulative","WBXP089.Skip.to.Item"
"-159.0877 to 177.3262","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
