"DED1PSDX.Code.or.Value","DED1PSDX.Value.Description","DED1PSDX.Count","DED1PSDX.Cumulative","DED1PSDX.Skip.to.Item"
"1","Present",37,37,NA
"2","Absent",2645,2682,NA
"9","Not determined, picture missing",14,2696,NA
".","Missing",296,2992,NA
