"HSQ500.Code.or.Value","HSQ500.Value.Description","HSQ500.Count","HSQ500.Cumulative","HSQ500.Skip.to.Item"
"1","Yes",1538,1538,NA
"2","No",6921,8459,NA
"7","Refused",3,8462,NA
"9","Don't know",13,8475,NA
".","Missing",947,9422,NA
