"CIQDPC.Code.or.Value","CIQDPC.Value.Description","CIQDPC.Count","CIQDPC.Cumulative","CIQDPC.Skip.to.Item"
"1","Yes",17,17,""
"2","No",43,60,"CIDDPRB"
"7","Refuse",0,60,"CIDDPRB"
"9","Don't know",0,60,"CIDDPRB"
".","Missing",718,778,""
