"DR2LANG.Code.or.Value","DR2LANG.Value.Description","DR2LANG.Count","DR2LANG.Cumulative","DR2LANG.Skip.to.Item"
"1","English",7225,7225,NA
"2","Spanish",1239,8464,NA
"3","English and Spanish",82,8546,NA
"4","Other",3,8549,NA
".","Missing",1704,10253,NA
