"DR2ITHEO.Code.or.Value","DR2ITHEO.Value.Description","DR2ITHEO.Count","DR2ITHEO.Cumulative","DR2ITHEO.Skip.to.Item"
"0 to 936","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
