"URDUSNLC.Code.or.Value","URDUSNLC.Value.Description","URDUSNLC.Count","URDUSNLC.Cumulative","URDUSNLC.Skip.to.Item"
"0","At or above the detection limit",2921,2921,NA
"1","Below lower detection limit",139,3060,NA
".","Missing",219,3279,NA
