"SSPFDEL.Code.or.Value","SSPFDEL.Value.Description","SSPFDEL.Count","SSPFDEL.Cumulative","SSPFDEL.Skip.to.Item"
"0","At or above the detection limit",247,247,NA
"1","Below lower detection limit",278,525,NA
".","Missing",0,525,NA
