"BMIARMC.Code.or.Value","BMIARMC.Value.Description","BMIARMC.Count","BMIARMC.Cumulative","BMIARMC.Skip.to.Item"
"1","Could not obtain",302,302,NA
".","Missing",9460,9762,NA
