"MCQ300B.Code.or.Value","MCQ300B.Value.Description","MCQ300B.Count","MCQ300B.Cumulative","MCQ300B.Skip.to.Item"
"1","Yes",1962,1962,NA
"2","No",6305,8267,NA
"7","Refused",1,8268,NA
"9","Don't know",167,8435,NA
".","Missing",1231,9666,NA
