"DR1ILZ.Code.or.Value","DR1ILZ.Value.Description","DR1ILZ.Count","DR1ILZ.Cumulative","DR1ILZ.Skip.to.Item"
"0 to 70497","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
