"DR1TPOTA.Code.or.Value","DR1TPOTA.Value.Description","DR1TPOTA.Count","DR1TPOTA.Cumulative","DR1TPOTA.Skip.to.Item"
"0 to 14097","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
