"LBXBPB.Code.or.Value","LBXBPB.Value.Description","LBXBPB.Count","LBXBPB.Cumulative","LBXBPB.Skip.to.Item"
"0.05 to 23.51","Range of Values",4988,4988,NA
".","Missing",827,5815,NA
