"LBCBR5LA.Code.or.Value","LBCBR5LA.Value.Description","LBCBR5LA.Count","LBCBR5LA.Cumulative","LBCBR5LA.Skip.to.Item"
"0.5834 to 82.95","Range of Values",301,301,NA
".","Missing",0,301,NA
