"URXOTD.Code.or.Value","URXOTD.Value.Description","URXOTD.Count","URXOTD.Cumulative","URXOTD.Skip.to.Item"
"78.64 to 16600","Range of Values",2412,2412,NA
".","Missing",343,2755,NA
