"TYXP010.Code.or.Value","TYXP010.Value.Description","TYXP010.Count","TYXP010.Cumulative","TYXP010.Skip.to.Item"
"95 to 199","Range of Values",5584,5584,NA
".","Missing",1,5585,NA
